position_id | created_at          |
|     2663144 | 2016-12-15 10:35:20 |
|     2637168 | 2016-12-15 10:39:34 |
|     2498106 | 2016-12-15 10:41:18 |
|     2580103 | 2016-12-15 10:41:34 |
|     2592068 | 2016-12-15 10:46:06 |
|     2595786 | 2016-12-15 10:46:38 |
|     2164435 | 2016-12-15 10:47:57 |
|     2603421 | 2016-12-15 10:48:09 |
|     2318287 | 2016-12-15 10:50:32 |
|     2592293 | 2016-12-15 10:50:40 |
|     2155312 | 2016-12-15 10:51:29 |
|     2603421 | 2016-12-15 10:53:09 |
|     1889599 | 2016-12-15 10:53:10 |
|     2483302 | 2016-12-15 10:53:28 |
|     2612097 | 2016-12-15 10:54:41 |
|     1573897 | 2016-12-15 10:58:02 |
|     2511040 | 2016-12-15 11:02:23 |
|     2617255 | 2016-12-15 11:03:56 |
|     1559074 | 2016-12-15 11:07:16 |
|     2569717 | 2016-12-15 11:09:28 |
|     1622507 | 2016-12-15 11:16:39 |
|     1573843 | 2016-12-15 11:16:52 |
|     2603985 | 2016-12-15 11:18:33 |
|     2343241 | 2016-12-15 11:19:13 |
|     1931987 | 2016-12-15 11:37:11 |
|     2412586 | 2016-12-15 11:39:55 |
|     2640370 | 2016-12-15 11:47:49 |
|     2632149 | 2016-12-15 11:49:47 |
|     2664259 | 2016-12-15 11:51:52 |
|     2609539 | 2016-12-15 11:59:46 |
|     2651576 | 2016-12-15 13:05:27 |
|     2654275 | 2016-12-15 13:43:22 |
|     1698959 | 2016-12-15 13:56:55 |
|     1981622 | 2016-12-15 14:01:31 |
|     1568000 | 2016-12-15 14:05:28 |
|     2619867 | 2016-12-15 14:11:26 |
|     2001285 | 2016-12-15 14:14:02 |
|     2615389 | 2016-12-15 14:20:09 |
|     1186802 | 2016-12-15 14:26:26 |
|     2593772 | 2016-12-15 14:29:55 |
|     2664801 | 2016-12-15 14:30:14 |
|     2654248 | 2016-12-15 14:33:08 |
|     2584388 | 2016-12-15 14:34:23 |
|     2623307 | 2016-12-15 14:40:10 |
|     2606208 | 2016-12-15 14:59:19 |
|     2546347 | 2016-12-15 15:01:02 |
|     2528150 | 2016-12-15 15:03:35 |
|     2528160 | 2016-12-15 15:05:06 |
|     2475054 | 2016-12-15 15:34:04 |
|     2362922 | 2016-12-15 16:01:57 |
|     2362970 | 2016-12-15 16:03:40 |
|     2016777 | 2016-12-15 16:03:53 |
|     2514081 | 2016-12-15 16:04:29 |
|     2047936 | 2016-12-15 16:06:59 |
|     2014538 | 2016-12-15 16:08:35 |
|     2198687 | 2016-12-15 16:13:13 |
|     1973513 | 2016-12-15 16:27:20 |
|     2665932 | 2016-12-15 17:14:28 |
|     2654832 | 2016-12-15 17:30:31 |
|     2551758 | 2016-12-15 17:37:47 |
|     2648438 | 2016-12-15 18:01:14 |
|     2648427 | 2016-12-15 18:03:00 |
|     2649912 | 2016-12-15 18:11:23 |
|     2205411 | 2016-12-15 18:24:39 |
|     2657468 | 2016-12-15 18:36:26 |
|     2553472 | 2016-12-15 18:57:11 |
|     2627202 | 2016-12-15 18:57:12 |
|     1883308 | 2016-12-15 19:16:56 |
|      946132 | 2016-12-15 19:19:57 |
|     2663846 | 2016-12-15 19:22:05 |
|      946180 | 2016-12-15 19:23:40 |
|     2468275 | 2016-12-15 19:25:19 |
|     2525968 | 2016-12-15 19:26:36 |
|     2616453 | 2016-12-15 19:48:03 |
|     2616410 | 2016-12-15 19:50:09 |
|     2640048 | 2016-12-15 20:08:06 |
|     2639873 | 2016-12-15 20:10:19 |
|     2586628 | 2016-12-15 20:16:27 |
|     1593894 | 2016-12-15 20:20:16 |
|     2396346 | 2016-12-15 20:30:04 |
|     1973411 | 2016-12-15 21:24:51 |
|     2648438 | 2016-12-16 00:11:52 |
|     2577909 | 2016-12-16 02:19:13 |
|     2508859 | 2016-12-16 09:42:09 |
|     2627299 | 2016-12-16 09:51:23 |
|     2067684 | 2016-12-16 10:01:20 |
